0,1,2
-0.6716011,1.0313425,1.1130421
0.9649696,0.950915,-0.27848122
0.3159581,0.97377366,0.23199242
3.0787313,-0.9034407,0.3972164
0.7275087,-0.96529657,0.38378564
-0.03705905,1.2500895,0.030113988
0.15124217,0.9124103,1.0969288
0.6102696,0.38523915,0.98562646
0.79281795,0.26064685,0.36324778
0.017675165,1.2381997,0.64942765
0.85539603,-0.25208417,0.47522822
0.7704899,0.103085116,0.38005903
0.70963603,0.56705046,-0.20579404
1.0188587,-0.021387734,-0.06563116
0.5102835,0.7027651,-0.3089472
0.983271,1.1825036,0.03680683
0.6636201,0.49451518,1.23005
1.3583972,0.79788375,0.73269796
0.5796457,0.72385705,0.24711233
0.71244055,0.7380333,0.93215835
-0.024580846,-0.99745136,0.85962063
0.410604,-0.5223757,0.779531
0.29901698,0.3092714,0.15820405
0.82297385,0.22613573,0.89524776
0.27580082,0.80992866,0.46210054
0.45777434,0.40383643,-0.38298553
2.8374283,-0.40239003,-0.47422177
0.87163407,-0.26394323,0.43250486
0.19401209,0.11558972,0.6123323
-0.016750848,0.5162268,0.30046234
0.5723005,1.1372119,-0.07973209
0.46793666,-0.13131538,0.6115036
0.20014802,0.46065962,0.252097
0.77036566,1.1695406,0.36107346
0.8714301,-0.57649714,0.49018475
0.45075795,0.85631716,1.1967716
1.1501269,1.438638,-0.41503656
1.0368751,0.9880664,-0.08993132
1.1812681,-0.001915343,0.93953246
0.70474535,0.14427303,0.6606719
1.1272812,0.9709895,-0.33599794
0.1663929,0.7846253,0.42158127
0.817927,1.0257059,1.0805081
0.9603141,1.1993849,-0.22064176
0.7900957,0.6042987,-0.5467448
-2.7020357,-0.131688,1.0182296
-0.16962446,0.5058861,0.7791199
0.7133282,0.34887347,-0.11090531
0.48731107,0.16280454,0.7662341
0.5475802,0.20820771,0.27593532
0.07682533,0.7009139,0.71157116
0.52304363,0.69711107,0.34689647
0.55579615,0.27724895,2.2673047
0.75847626,-0.20279837,0.7751331
-0.015176072,1.6788255,-0.11896535
0.903827,0.57511026,0.3415332
1.4603494,-1.018068,0.59785795
